,time,Data,airtime,coding_rate,data_rate,frequency,gateway,rssi,sensor,snr
46,2019-09-18 10:18:05.441415168+00:00,27,164864000,4/5,SF9BW125,868.3,eui-0002fcc23d0b760a,-68,mdot-two,11.2
47,2019-09-18 10:18:05.441415168+00:00,27,164864000,4/5,SF9BW125,868.3,iot-mashinani,-49,mdot-two,11.0
48,2019-09-18 10:20:07.698818816+00:00,27,82432000,4/5,SF8BW125,868.3,eui-0002fcc23d0b760a,-67,mdot-two,11.2
49,2019-09-18 10:20:07.698818816+00:00,27,82432000,4/5,SF8BW125,868.3,iot-mashinani,-49,mdot-two,10.0
50,2019-09-18 10:22:09.922481152+00:00,27,46336000,4/5,SF7BW125,868.3,eui-0002fcc23d0b760a,-68,mdot-two,10.2
51,2019-09-18 10:22:09.922481152+00:00,27,46336000,4/5,SF7BW125,868.3,iot-mashinani,-51,mdot-two,9.25
52,2019-09-18 10:26:13.518259968+00:00,27,1155072000,4/5,SF12BW125,868.1,iot-mashinani,-53,mdot-two,7.0
53,2019-09-18 10:28:16.618958080+00:00,26,659456000,4/5,SF11BW125,868.3,eui-0002fcc23d0b760a,-65,mdot-two,10.0
54,2019-09-18 10:28:16.618958080+00:00,26,659456000,4/5,SF11BW125,868.3,iot-mashinani,-48,mdot-two,8.5
55,2019-09-18 10:30:19.118441216+00:00,27,329728000,4/5,SF10BW125,868.3,eui-0002fcc23d0b760a,-66,mdot-two,11.8
56,2019-09-18 10:30:19.118441216+00:00,27,329728000,4/5,SF10BW125,868.3,iot-mashinani,-48,mdot-two,8.5
57,2019-09-18 10:32:21.787545088+00:00,27,164864000,4/5,SF9BW125,868.3,eui-0002fcc23d0b760a,-71,mdot-two,12.8
58,2019-09-18 10:32:21.787545088+00:00,27,164864000,4/5,SF9BW125,868.3,iot-mashinani,-51,mdot-two,10.75
59,2019-09-18 10:34:24.046812928+00:00,27,82432000,4/5,SF8BW125,868.5,eui-0002fcc23d0b760a,-67,mdot-two,7.2
60,2019-09-18 10:34:24.046812928+00:00,27,82432000,4/5,SF8BW125,868.5,iot-mashinani,-51,mdot-two,7.75
61,2019-09-18 10:36:26.267371008+00:00,27,46336000,4/5,SF7BW125,868.5,eui-0002fcc23d0b760a,-68,mdot-two,6.8
62,2019-09-18 10:36:26.267371008+00:00,27,46336000,4/5,SF7BW125,868.5,iot-mashinani,-51,mdot-two,6.5
63,2019-09-18 10:40:28.957010944+00:00,27,1155072000,4/5,SF12BW125,868.3,eui-0002fcc23d0b760a,-65,mdot-two,8.2
64,2019-09-18 10:40:28.957010944+00:00,27,1155072000,4/5,SF12BW125,868.3,iot-mashinani,-53,mdot-two,7.5
65,2019-09-18 10:42:31.786127104+00:00,27,659456000,4/5,SF11BW125,868.5,eui-0002fcc23d0b760a,-65,mdot-two,8.5
66,2019-09-18 10:42:31.786127104+00:00,27,659456000,4/5,SF11BW125,868.5,iot-mashinani,-48,mdot-two,7.5
67,2019-09-18 10:44:34.281999104+00:00,27,329728000,4/5,SF10BW125,868.3,eui-0002fcc23d0b760a,-65,mdot-two,11.8
68,2019-09-18 10:44:34.281999104+00:00,27,329728000,4/5,SF10BW125,868.3,iot-mashinani,-51,mdot-two,9.25
69,2019-09-18 10:46:36.634169088+00:00,27,164864000,4/5,SF9BW125,868.1,eui-0002fcc23d0b760a,-68,mdot-two,11.0
70,2019-09-18 10:46:36.634169088+00:00,27,164864000,4/5,SF9BW125,868.1,iot-mashinani,-53,mdot-two,11.75
71,2019-09-18 10:48:38.884231936+00:00,27,82432000,4/5,SF8BW125,868.5,eui-0002fcc23d0b760a,-69,mdot-two,8.5
72,2019-09-18 10:48:38.884231936+00:00,27,82432000,4/5,SF8BW125,868.5,iot-mashinani,-51,mdot-two,7.0
73,2019-09-18 10:50:41.298093056+00:00,27,46336000,4/5,SF7BW125,868.1,eui-0002fcc23d0b760a,-70,mdot-two,8.8
74,2019-09-18 10:54:43.802213888+00:00,27,1155072000,4/5,SF12BW125,868.3,iot-mashinani,-48,mdot-two,7.25
75,2019-09-18 10:54:43.802213888+00:00,27,1155072000,4/5,SF12BW125,868.3,eui-0002fcc23d0b760a,-67,mdot-two,8.5
76,2019-09-18 10:56:46.988851968+00:00,26,659456000,4/5,SF11BW125,868.5,iot-mashinani,-48,mdot-two,8.5
77,2019-09-18 10:56:46.988851968+00:00,26,659456000,4/5,SF11BW125,868.5,eui-0002fcc23d0b760a,-66,mdot-two,8.5
78,2019-09-18 10:58:49.499275008+00:00,26,329728000,4/5,SF10BW125,868.5,iot-mashinani,-52,mdot-two,8.25
79,2019-09-18 10:58:49.499275008+00:00,26,329728000,4/5,SF10BW125,868.5,eui-0002fcc23d0b760a,-68,mdot-two,8.5
80,2019-09-18 11:02:54.097952+00:00,27,82432000,4/5,SF8BW125,868.3,iot-mashinani,-52,mdot-two,10.5
81,2019-09-18 11:02:54.097952+00:00,27,82432000,4/5,SF8BW125,868.3,eui-0002fcc23d0b760a,-70,mdot-two,11.2
82,2019-09-18 11:04:56.318289152+00:00,26,46336000,4/5,SF7BW125,868.1,iot-mashinani,-53,mdot-two,9.5
83,2019-09-18 11:04:56.318289152+00:00,26,46336000,4/5,SF7BW125,868.1,eui-0002fcc23d0b760a,-69,mdot-two,9.0
84,2019-09-18 11:08:59.558245888+00:00,27,1155072000,4/5,SF12BW125,868.1,iot-mashinani,-49,mdot-two,8.25
85,2019-09-18 11:11:02.133709824+00:00,26,659456000,4/5,SF11BW125,868.3,eui-0002fcc23d0b760a,-70,mdot-two,9.8
86,2019-09-18 11:11:02.133709824+00:00,26,659456000,4/5,SF11BW125,868.3,iot-mashinani,-48,mdot-two,10.0
87,2019-09-18 11:13:04.632229120+00:00,27,329728000,4/5,SF10BW125,868.3,eui-0002fcc23d0b760a,-66,mdot-two,10.8
88,2019-09-18 11:13:05.688312064+00:00,27,329728000,4/5,SF10BW125,868.3,iot-mashinani,-51,mdot-two,9.0
89,2019-09-18 11:15:07.383421952+00:00,27,164864000,4/5,SF9BW125,868.1,eui-0002fcc23d0b760a,-73,mdot-two,12.8
90,2019-09-18 11:15:07.383421952+00:00,27,164864000,4/5,SF9BW125,868.1,iot-mashinani,-54,mdot-two,11.75
91,2019-09-18 11:17:09.626766848+00:00,26,82432000,4/5,SF8BW125,868.3,eui-0002fcc23d0b760a,-65,mdot-two,10.0
92,2019-09-18 11:17:09.626766848+00:00,26,82432000,4/5,SF8BW125,868.3,iot-mashinani,-52,mdot-two,10.75
93,2019-09-18 11:19:11.855705088+00:00,26,46336000,4/5,SF7BW125,868.5,eui-0002fcc23d0b760a,-66,mdot-two,6.8
94,2019-09-18 11:19:11.855705088+00:00,26,46336000,4/5,SF7BW125,868.5,iot-mashinani,-51,mdot-two,7.25
95,2019-09-18 11:23:14.537210880+00:00,27,1155072000,4/5,SF12BW125,868.5,eui-0002fcc23d0b760a,-65,mdot-two,6.2
96,2019-09-18 11:23:14.537210880+00:00,27,1155072000,4/5,SF12BW125,868.5,iot-mashinani,-48,mdot-two,5.75
97,2019-09-18 11:25:17.661776896+00:00,26,659456000,4/5,SF11BW125,868.1,eui-0002fcc23d0b760a,-68,mdot-two,8.2
98,2019-09-18 11:25:17.661776896+00:00,26,659456000,4/5,SF11BW125,868.1,iot-mashinani,-48,mdot-two,9.75
99,2019-09-18 11:27:20.839194112+00:00,26,329728000,4/5,SF10BW125,868.5,iot-mashinani,-49,mdot-two,7.5
100,2019-09-18 11:29:22.609165824+00:00,26,164864000,4/5,SF9BW125,868.1,iot-mashinani,-55,mdot-two,12.25
101,2019-09-18 11:31:24.768985088+00:00,26,82432000,4/5,SF8BW125,868.5,eui-0002fcc23d0b760a,-69,mdot-two,8.0
102,2019-09-18 11:31:24.768985088+00:00,26,82432000,4/5,SF8BW125,868.5,iot-mashinani,-49,mdot-two,7.5
103,2019-09-18 11:33:26.991354112+00:00,26,46336000,4/5,SF7BW125,868.3,iot-mashinani,-51,mdot-two,8.25
104,2019-09-18 11:37:29.685154816+00:00,26,1155072000,4/5,SF12BW125,868.5,iot-mashinani,-51,mdot-two,5.75
105,2019-09-18 11:39:32.877320960+00:00,26,659456000,4/5,SF11BW125,868.1,iot-mashinani,-48,mdot-two,9.75
106,2019-09-18 11:41:35.371511040+00:00,26,329728000,4/5,SF10BW125,868.5,eui-0002fcc23d0b760a,-64,mdot-two,7.2
107,2019-09-18 11:41:35.371511040+00:00,26,329728000,4/5,SF10BW125,868.5,iot-mashinani,-48,mdot-two,7.25
108,2019-09-18 11:43:38.037754112+00:00,26,164864000,4/5,SF9BW125,868.5,eui-0002fcc23d0b760a,-70,mdot-two,7.5
109,2019-09-18 11:43:38.037754112+00:00,26,164864000,4/5,SF9BW125,868.5,iot-mashinani,-53,mdot-two,8.5
110,2019-09-18 11:45:40.304524800+00:00,27,82432000,4/5,SF8BW125,868.1,eui-0002fcc23d0b760a,-70,mdot-two,11.0
111,2019-09-18 11:45:40.304524800+00:00,27,82432000,4/5,SF8BW125,868.1,iot-mashinani,-51,mdot-two,11.75
112,2019-09-18 11:47:42.525444096+00:00,27,46336000,4/5,SF7BW125,868.1,eui-0002fcc23d0b760a,-80,mdot-two,9.0
113,2019-09-18 11:47:42.525444096+00:00,27,46336000,4/5,SF7BW125,868.1,iot-mashinani,-51,mdot-two,8.75
114,2019-09-18 13:20:59.022566912+00:00,8258,164864000,4/5,SF9BW125,868.5,eui-0002fcc23d0b760a,-103,mdot-03,7.5
115,2019-09-18 13:22:07.952038912+00:00,14115,1155072000,4/5,SF12BW125,868.1,eui-0002fcc23d0b760a,-59,mdot-two,8.2
116,2019-09-18 13:26:13.051203840+00:00,14771,1155072000,4/5,SF12BW125,868.5,eui-0002fcc23d0b760a,-105,mdot-03,6.0
117,2019-09-18 13:29:15.901782016+00:00,15283,1155072000,4/5,SF12BW125,868.5,eui-0002fcc23d0b760a,-64,mdot-03,6.0
118,2019-09-18 13:31:18.447805952+00:00,15443,329728000,4/5,SF10BW125,868.5,eui-0002fcc23d0b760a,-58,mdot-03,7.2
119,2019-09-18 13:32:22.005191936+00:00,16948,185344000,4/5,SF9BW125,868.3,eui-0002fcc23d0b760a,-73,mdot-03,12.5
120,2019-09-18 13:33:24.161322240+00:00,15699,92672000,4/5,SF8BW125,868.3,eui-0002fcc23d0b760a,-77,mdot-03,11.0
121,2019-09-18 13:34:26.289588992+00:00,17076,51456000,4/5,SF7BW125,868.3,eui-0002fcc23d0b760a,-75,mdot-03,10.2
122,2019-09-18 13:36:29.757319936+00:00,15715,1318912000,4/5,SF12BW125,868.1,iot-mashinani,-70,mdot-03,8.75
123,2019-09-18 14:06:50.439780864+00:00,15011,1155072000,4/5,SF12BW125,868.3,eui-7276ff00080e0675,-74,mdot-03,9.8
124,2019-09-18 14:06:50.439780864+00:00,15011,1155072000,4/5,SF12BW125,868.3,eui-0002fcc23d0b760a,-68,mdot-03,9.0
125,2019-09-18 14:06:50.439780864+00:00,15011,1155072000,4/5,SF12BW125,868.3,iot-mashinani,-51,mdot-03,8.75
126,2019-09-18 14:08:54.323260160+00:00,16516,329728000,4/5,SF10BW125,868.1,eui-7276ff00080e0675,-85,mdot-03,11.0
127,2019-09-18 14:08:54.323260160+00:00,16516,329728000,4/5,SF10BW125,868.1,eui-0002fcc23d0b760a,-69,mdot-03,9.5
128,2019-09-18 14:08:54.323260160+00:00,16516,329728000,4/5,SF10BW125,868.1,iot-mashinani,-53,mdot-03,10.25
129,2019-09-18 14:09:56.558243072+00:00,15219,164864000,4/5,SF9BW125,868.1,eui-7276ff00080e0675,-84,mdot-03,10.8
130,2019-09-18 14:09:56.558243072+00:00,15219,164864000,4/5,SF9BW125,868.1,eui-0002fcc23d0b760a,-75,mdot-03,11.8
131,2019-09-18 14:09:56.558243072+00:00,15219,164864000,4/5,SF9BW125,868.1,iot-mashinani,-53,mdot-03,10.5
132,2019-09-18 14:10:58.719866880+00:00,15299,92672000,4/5,SF8BW125,868.1,eui-7276ff00080e0675,-92,mdot-03,11.2
133,2019-09-18 14:10:58.719866880+00:00,15299,92672000,4/5,SF8BW125,868.1,eui-0002fcc23d0b760a,-71,mdot-03,12.0
134,2019-09-18 14:10:58.719866880+00:00,15299,92672000,4/5,SF8BW125,868.1,iot-mashinani,-60,mdot-03,10.75
135,2019-09-18 14:12:00.844433152+00:00,15347,51456000,4/5,SF7BW125,868.5,eui-7276ff00080e0675,-98,mdot-03,7.0
136,2019-09-18 14:12:00.844433152+00:00,15347,51456000,4/5,SF7BW125,868.5,eui-0002fcc23d0b760a,-68,mdot-03,6.8
137,2019-09-18 14:12:00.844433152+00:00,15347,51456000,4/5,SF7BW125,868.5,iot-mashinani,-53,mdot-03,6.75
138,2019-09-18 14:17:06.608289024+00:00,15523,164864000,4/5,SF9BW125,868.3,eui-7276ff00080e0675,-106,mdot-03,8.5
139,2019-09-18 14:17:06.608289024+00:00,15523,164864000,4/5,SF9BW125,868.3,eui-0002fcc23d0b760a,-71,mdot-03,10.8
140,2019-09-18 14:17:06.608289024+00:00,15523,164864000,4/5,SF9BW125,868.3,iot-mashinani,-55,mdot-03,12.0
141,2019-09-18 14:18:08.769870080+00:00,17060,92672000,4/5,SF8BW125,868.3,eui-0002fcc23d0b760a,-69,mdot-03,11.0
