time,x_column,height,datapoint_label,kmeans_labels
2022-03-06 00:03:40.712042555+03:00,0,0.34,0,0
2022-03-06 00:08:48.129244749+03:00,1,0.33,0,0
2022-03-06 00:13:55.555324736+03:00,2,0.33,0,0
2022-03-06 00:19:02.974501474+03:00,3,0.33,0,0
2022-03-06 00:24:10.385510606+03:00,4,0.34,0,0
2022-03-06 00:29:17.823507606+03:00,5,0.33,0,0
2022-03-06 00:34:25.233235959+03:00,6,0.33,0,0
2022-03-06 00:39:32.634163125+03:00,7,0.33,0,0
2022-03-06 00:49:47.475879446+03:00,8,0.33,0,0
2022-03-06 00:54:54.895248497+03:00,9,0.33,0,0
2022-03-06 01:00:02.319694827+03:00,10,0.33,0,0
2022-03-06 01:05:09.716712615+03:00,11,0.33,0,0
2022-03-06 01:10:17.137557111+03:00,12,0.33,0,0
2022-03-06 01:15:24.553398226+03:00,13,0.33,0,0
2022-03-06 01:20:31.969251430+03:00,14,0.33,0,0
2022-03-06 01:25:39.383784760+03:00,15,0.33,0,0
2022-03-06 01:30:46.805325909+03:00,16,0.33,0,0
2022-03-06 01:35:54.218875210+03:00,17,0.33,0,0
2022-03-06 01:41:01.670230482+03:00,18,0.33,0,0
2022-03-06 01:46:09.069179323+03:00,19,0.33,0,0
2022-03-06 01:51:16.474398838+03:00,20,0.33,0,0
2022-03-06 01:56:23.894988421+03:00,21,0.33,0,0
2022-03-06 02:01:31.306483743+03:00,22,0.33,0,0
2022-03-06 02:06:38.722200518+03:00,23,0.33,0,0
2022-03-06 02:11:46.150403551+03:00,24,0.33,0,0
2022-03-06 02:16:53.563575545+03:00,25,0.33,0,0
2022-03-06 02:22:00.975691696+03:00,26,0.32,0,0
2022-03-06 02:27:08.398523833+03:00,27,0.33,0,0
2022-03-06 02:32:15.823227377+03:00,28,0.33,0,0
2022-03-06 02:37:23.231551219+03:00,29,0.33,0,0
2022-03-06 02:42:30.650228107+03:00,30,0.32,0,0
