time,Data
15/09/2021,0.23
16/09/2021,0.198265242
17/09/2021,0.181885732
18/09/2021,0.156433081
19/09/2021,0.278806818
20/09/2021,0.224857955
21/09/2021,0.166458333
22/09/2021,0.16669697
23/09/2021,0.163671086
24/09/2021,0.164640152
25/09/2021,0.150506313
26/09/2021,0.153816288
27/09/2021,0.157149621
28/09/2021,0.15792298
29/09/2021,0.164362374
30/09/2021,0.153544823
1/10/2021,0.174864268
2/10/2021,0.167465278
3/10/2021,0.153680556
4/10/2021,0.163989899
5/10/2021,0.362140152
6/10/2021,0.434758523
7/10/2021,0.293402778
8/10/2021,0.241401515
9/10/2021,0.296991793
10/10/2021,0.282007576
11/10/2021,0.262026515
12/10/2021,0.220377525
13/10/2021,0.220486742
14/10/2021,0.239236111
15/10/2021,0.265123737
16/10/2021,0.226212753
17/10/2021,0.209185606
18/10/2021,0.32006471
19/10/2021,0.331565657
20/10/2021,0.289693813
21/10/2021,0.386325758
22/10/2021,0.410104798
23/10/2021,0.392361111
24/10/2021,0.408967803
25/10/2021,0.401685606
26/10/2021,0.358721591
27/10/2021,0.457482534
28/10/2021,0.47603367
29/10/2021,0.391326539
30/10/2021,0.447089226
31/10/2021,0.396846215
1/11/2021,0.365912774
2/11/2021,0.463457431
3/11/2021,0.338234894
4/11/2021,0.320760311
5/11/2021,0.310120611
6/11/2021,0.307015242
7/11/2021,0.297422739
8/11/2021,0.278327892
9/11/2021,0.270487584
10/11/2021,0.28448548
11/11/2021,0.275849747
12/11/2021,0.268484848
13/11/2021,0.258607955
14/11/2021,0.258948864
15/11/2021,0.260890152
16/11/2021,0.254535985
17/11/2021,0.263162879
18/11/2021,0.369065657
19/11/2021,0.392418981
20/11/2021,0.305744949
21/11/2021,0.295931818
22/11/2021,0.296556187
23/11/2021,0.279824495
24/11/2021,0.302049663
25/11/2021,0.297424242
26/11/2021,0.299182449
27/11/2021,0.306973485
28/11/2021,0.373765783
29/11/2021,0.497149621
30/11/2021,0.467526726
1/12/2021,0.519915825
